Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Brunei Darussalam,2015,Female",75.5
Life expectancy at birth (years),"Brunei Darussalam,2010,Both sexes",74.57
Life expectancy at birth (years),"Brunei Darussalam,2010,Male",73.35
Life expectancy at birth (years),"Brunei Darussalam,2010,Female",75.84
Life expectancy at birth (years),"Brunei Darussalam,2000,Both sexes",72.2
Life expectancy at birth (years),"Brunei Darussalam,2000,Male",70.86
Life expectancy at birth (years),"Brunei Darussalam,2000,Female",73.68
Life expectancy at birth (years),"Bulgaria,2015,Both sexes",74.55
Life expectancy at birth (years),"Bulgaria,2015,Male",71.17
Life expectancy at birth (years),"Bulgaria,2015,Female",78.04
Life expectancy at birth (years),"Bulgaria,2010,Both sexes",73.64
Life expectancy at birth (years),"Bulgaria,2010,Male",70.19
Life expectancy at birth (years),"Bulgaria,2010,Female",77.23
Life expectancy at birth (years),"Bulgaria,2000,Both sexes",71.61
Life expectancy at birth (years),"Bulgaria,2000,Male",68.4
Life expectancy at birth (years),"Bulgaria,2000,Female",74.97
Life expectancy at birth (years),"Burkina Faso,2015,Both sexes",60.92
Life expectancy at birth (years),"Burkina Faso,2015,Male",58.24
Life expectancy at birth (years),"Burkina Faso,2015,Female",63.45
Life expectancy at birth (years),"Burkina Faso,2010,Both sexes",58.59
Life expectancy at birth (years),"Burkina Faso,2010,Male",56.19
Life expectancy at birth (years),"Burkina Faso,2010,Female",60.79
Life expectancy at birth (years),"Burkina Faso,2000,Both sexes",51.64
Life expectancy at birth (years),"Burkina Faso,2000,Male",49.92
Life expectancy at birth (years),"Burkina Faso,2000,Female",53.14
Life expectancy at birth (years),"Burundi,2015,Both sexes",62.05
Life expectancy at birth (years),"Burundi,2015,Male",59.84
Life expectancy at birth (years),"Burundi,2015,Female",64.26
Life expectancy at birth (years),"Burundi,2010,Both sexes",58.6
Life expectancy at birth (years),"Burundi,2010,Male",56.86
Life expectancy at birth (years),"Burundi,2010,Female",60.32
Life expectancy at birth (years),"Burundi,2000,Both sexes",43.78
Life expectancy at birth (years),"Burundi,2000,Male",41.79
Life expectancy at birth (years),"Burundi,2000,Female",45.85
